,Compound,TyreLife,FreshTyre,Position,GridPosition,Round,Year,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindSpeed
2,MEDIUM,4.0,False,3.0,5.0,Hungarian Grand Prix,2019,25.1,35.9,986.8,False,43.0,2.1
3,MEDIUM,4.0,False,4.0,4.0,Hungarian Grand Prix,2019,25.1,35.9,986.8,False,43.0,2.1
4,SOFT,4.0,False,5.0,8.0,Hungarian Grand Prix,2019,25.1,35.9,986.8,False,43.0,2.1
5,MEDIUM,4.0,False,6.0,6.0,Hungarian Grand Prix,2019,25.1,35.9,986.8,False,43.0,2.1
6,SOFT,4.0,False,7.0,10.0,Hungarian Grand Prix,2019,25.1,35.9,986.8,False,43.0,2.1
7,MEDIUM,4.0,False,8.0,2.0,Hungarian Grand Prix,2019,25.1,35.9,986.8,False,43.0,2.1
8,SOFT,4.0,False,9.0,7.0,Hungarian Grand Prix,2019,25.1,35.9,986.8,False,43.0,2.1
9,MEDIUM,1.0,True,10.0,12.0,Hungarian Grand Prix,2019,25.1,35.9,986.8,False,43.0,2.1
10,MEDIUM,1.0,True,11.0,16.0,Hungarian Grand Prix,2019,25.1,35.9,986.8,False,43.0,2.1
11,MEDIUM,1.0,True,12.0,11.0,Hungarian Grand Prix,2019,25.1,35.9,986.8,False,43.0,2.1
12,MEDIUM,1.0,True,13.0,14.0,Hungarian Grand Prix,2019,25.1,35.9,986.8,False,43.0,2.1
13,HARD,1.0,False,14.0,20.0,Hungarian Grand Prix,2019,25.1,35.9,986.8,False,43.0,2.1
